Data As Of,Start Date,End Date,Group,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,P&C Deaths,Influenza Deaths,P/I/C Deaths
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Female,45-54 years,486.0,5550.0,590.0,275.0,12.0,813.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Female,50-64 years,1542.0,16126.0,1981.0,884.0,58.0,2692.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Female,55-64 years,1217.0,12785.0,1600.0,701.0,52.0,2163.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Female,65-74 years,2114.0,20495.0,2680.0,1183.0,62.0,3666.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Female,75-84 years,2676.0,26006.0,3129.0,1312.0,65.0,4547.0
09/27/2023,01/01/2020,09/23/2023,By Total,Kentucky,Female,85 years and over,2978.0,29167.0,2692.0,1042.0,65.0,4684.0
09/27/2023,01/01/2020,09/23/2023,By Total,Louisiana,Male,50-64 years,2074.0,23079.0,1792.0,1097.0,28.0,2792.0
09/27/2023,01/01/2020,09/23/2023,By Total,Louisiana,Male,55-64 years,1610.0,18128.0,1434.0,851.0,23.0,2211.0
09/27/2023,01/01/2020,09/23/2023,By Total,Louisiana,Male,65-74 years,2569.0,25298.0,2360.0,1386.0,33.0,3573.0
09/27/2023,01/01/2020,09/23/2023,By Total,Louisiana,Male,75-84 years,2532.0,24194.0,2294.0,1283.0,21.0,3563.0
09/27/2023,01/01/2020,09/23/2023,By Total,Louisiana,Male,85 years and over,1611.0,17117.0,1470.0,766.0,15.0,2330.0
09/27/2023,01/01/2020,09/23/2023,By Total,Louisiana,Female,40-49 years,345.0,3732.0,259.0,171.0,10.0,443.0
09/27/2023,01/01/2020,09/23/2023,By Total,Louisiana,Female,45-54 years,500.0,4968.0,422.0,258.0,18.0,681.0
09/27/2023,01/01/2020,09/23/2023,By Total,Louisiana,Female,50-64 years,1489.0,14845.0,1348.0,795.0,31.0,2070.0
09/27/2023,01/01/2020,09/23/2023,By Total,Louisiana,Female,55-64 years,1185.0,11895.0,1066.0,633.0,21.0,1637.0
09/27/2023,01/01/2020,09/23/2023,By Total,Louisiana,Female,65-74 years,1814.0,18705.0,1643.0,962.0,18.0,2511.0
09/27/2023,01/01/2020,09/23/2023,By Total,Louisiana,Female,75-84 years,2151.0,23248.0,1908.0,1063.0,25.0,3021.0
09/27/2023,01/01/2020,09/23/2023,By Total,Louisiana,Female,85 years and over,2080.0,27881.0,1801.0,860.0,21.0,3041.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maine,Male,Under 1 year,0.0,131.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maine,Male,65-74 years,401.0,7168.0,552.0,145.0,10.0,818.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maine,Male,75-84 years,511.0,8338.0,746.0,159.0,21.0,1116.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maine,Male,85 years and over,405.0,7686.0,725.0,99.0,15.0,1046.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maine,Female,75-84 years,447.0,7645.0,511.0,103.0,18.0,873.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maine,Female,85 years and over,633.0,11715.0,657.0,115.0,37.0,1211.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maryland,Male,45-54 years,648.0,7440.0,524.0,264.0,13.0,915.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maryland,Male,50-64 years,1803.0,20994.0,1675.0,778.0,32.0,2723.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maryland,Male,55-64 years,1394.0,16515.0,1321.0,598.0,25.0,2137.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maryland,Male,65-74 years,2151.0,23148.0,2293.0,929.0,20.0,3534.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maryland,Male,75-84 years,2576.0,25467.0,2841.0,1094.0,38.0,4361.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maryland,Male,85 years and over,2345.0,23669.0,2515.0,910.0,40.0,3985.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maryland,Female,18-29 years,38.0,1069.0,48.0,12.0,0.0,74.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maryland,Female,50-64 years,1188.0,13799.0,1172.0,504.0,30.0,1881.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maryland,Female,55-64 years,954.0,11062.0,963.0,418.0,25.0,1520.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maryland,Female,65-74 years,1687.0,18059.0,1765.0,731.0,36.0,2754.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maryland,Female,75-84 years,2223.0,25107.0,2264.0,914.0,43.0,3610.0
09/27/2023,01/01/2020,09/23/2023,By Total,Maryland,Female,85 years and over,3114.0,37712.0,2931.0,1010.0,55.0,5078.0
09/27/2023,01/01/2020,09/23/2023,By Total,Massachusetts,Male,45-54 years,435.0,7169.0,371.0,178.0,13.0,641.0
09/27/2023,01/01/2020,09/23/2023,By Total,Massachusetts,Male,50-64 years,1480.0,21056.0,1540.0,703.0,39.0,2354.0
09/27/2023,01/01/2020,09/23/2023,By Total,Massachusetts,Male,55-64 years,1199.0,16603.0,1295.0,585.0,32.0,1939.0
09/27/2023,01/01/2020,09/23/2023,By Total,Massachusetts,Male,65-74 years,2298.0,25233.0,2516.0,1099.0,51.0,3765.0
09/27/2023,01/01/2020,09/23/2023,By Total,Massachusetts,Male,75-84 years,3096.0,30231.0,3351.0,1419.0,68.0,5092.0
09/27/2023,01/01/2020,09/23/2023,By Total,Massachusetts,Male,85 years and over,3615.0,32576.0,3544.0,1493.0,81.0,5739.0
09/27/2023,01/01/2020,09/23/2023,By Total,Massachusetts,Female,45-54 years,231.0,4141.0,253.0,95.0,12.0,400.0
09/27/2023,01/01/2020,09/23/2023,By Total,Massachusetts,Female,50-64 years,865.0,12888.0,953.0,401.0,30.0,1442.0
09/27/2023,01/01/2020,09/23/2023,By Total,Massachusetts,Female,55-64 years,709.0,10239.0,785.0,339.0,22.0,1173.0
09/27/2023,01/01/2020,09/23/2023,By Total,Massachusetts,Female,65-74 years,1464.0,18514.0,1630.0,667.0,52.0,2477.0
09/27/2023,01/01/2020,09/23/2023,By Total,Massachusetts,Female,75-84 years,2585.0,29064.0,2621.0,1076.0,73.0,4200.0
09/27/2023,01/01/2020,09/23/2023,By Total,Massachusetts,Female,85 years and over,5237.0,52668.0,4052.0,1601.0,122.0,7800.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Male,35-44 years,470.0,7912.0,430.0,225.0,11.0,685.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Male,40-49 years,798.0,9819.0,705.0,409.0,15.0,1108.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Male,45-54 years,1362.0,13964.0,1229.0,757.0,23.0,1857.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Male,50-64 years,3779.0,41277.0,3738.0,2050.0,56.0,5520.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Male,55-64 years,2925.0,32794.0,2969.0,1570.0,42.0,4363.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Male,65-74 years,5053.0,49826.0,5359.0,2770.0,94.0,7729.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Male,75-84 years,5536.0,52850.0,5753.0,2979.0,80.0,8381.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Male,85 years and over,4474.0,46888.0,4339.0,2059.0,63.0,6813.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Female,35-44 years,326.0,4362.0,338.0,173.0,10.0,500.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Female,45-54 years,786.0,8284.0,751.0,432.0,17.0,1121.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Female,50-64 years,2511.0,25768.0,2598.0,1368.0,68.0,3806.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Female,55-64 years,2024.0,20657.0,2105.0,1092.0,53.0,3087.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Female,65-74 years,3511.0,36731.0,3843.0,1981.0,72.0,5440.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Female,75-84 years,4362.0,49393.0,4305.0,2094.0,95.0,6665.0
09/27/2023,01/01/2020,09/23/2023,By Total,Michigan,Female,85 years and over,5805.0,73420.0,4925.0,2137.0,86.0,8678.0
09/27/2023,01/01/2020,09/23/2023,By Total,Minnesota,Male,45-54 years,403.0,5395.0,343.0,174.0,13.0,584.0
09/27/2023,01/01/2020,09/23/2023,By Total,Minnesota,Male,50-64 years,1284.0,16372.0,1157.0,559.0,36.0,1917.0
09/27/2023,01/01/2020,09/23/2023,By Total,Minnesota,Male,55-64 years,1029.0,13081.0,935.0,448.0,27.0,1543.0
09/27/2023,01/01/2020,09/23/2023,By Total,Minnesota,Male,65-74 years,1687.0,20565.0,1820.0,786.0,38.0,2756.0
09/27/2023,01/01/2020,09/23/2023,By Total,Minnesota,Male,75-84 years,2305.0,24554.0,2313.0,915.0,50.0,3752.0
09/27/2023,01/01/2020,09/23/2023,By Total,Minnesota,Male,85 years and over,2506.0,25983.0,2348.0,855.0,42.0,4039.0
09/27/2023,01/01/2020,09/23/2023,By Total,Minnesota,Female,50-64 years,737.0,10013.0,769.0,328.0,29.0,1207.0
09/27/2023,01/01/2020,09/23/2023,By Total,Minnesota,Female,55-64 years,604.0,8063.0,640.0,281.0,27.0,990.0
09/27/2023,01/01/2020,09/23/2023,By Total,Minnesota,Female,65-74 years,1074.0,14550.0,1153.0,432.0,35.0,1829.0
09/27/2023,01/01/2020,09/23/2023,By Total,Minnesota,Female,75-84 years,1771.0,22279.0,1732.0,649.0,44.0,2896.0
09/27/2023,01/01/2020,09/23/2023,By Total,Minnesota,Female,85 years and over,3276.0,38612.0,2575.0,850.0,71.0,5068.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Male,15-24 years,20.0,1416.0,21.0,10.0,0.0,31.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Male,35-44 years,258.0,3455.0,250.0,127.0,12.0,389.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Male,40-49 years,391.0,4256.0,367.0,201.0,11.0,565.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Male,45-54 years,601.0,5673.0,563.0,330.0,11.0,845.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Male,50-64 years,1653.0,16109.0,1777.0,894.0,35.0,2568.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Male,55-64 years,1288.0,12719.0,1417.0,682.0,28.0,2048.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Male,65-74 years,2101.0,18210.0,2336.0,1140.0,38.0,3329.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Male,75-84 years,2084.0,17234.0,2261.0,1062.0,29.0,3310.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Male,85 years and over,1263.0,11365.0,1416.0,607.0,12.0,2082.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Female,15-24 years,23.0,490.0,22.0,13.0,0.0,32.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Female,45-54 years,484.0,3833.0,487.0,251.0,11.0,731.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Female,50-64 years,1362.0,10959.0,1432.0,753.0,38.0,2076.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Female,55-64 years,1096.0,8769.0,1138.0,603.0,31.0,1659.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Female,65-74 years,1624.0,13699.0,1726.0,846.0,25.0,2524.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Female,75-84 years,1826.0,16909.0,1881.0,871.0,29.0,2859.0
09/27/2023,01/01/2020,09/23/2023,By Total,Mississippi,Female,85 years and over,1824.0,19324.0,1731.0,701.0,24.0,2872.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Male,0-17 years,25.0,1973.0,44.0,11.0,11.0,69.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Male,40-49 years,467.0,7000.0,414.0,235.0,13.0,658.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Male,45-54 years,815.0,9407.0,683.0,412.0,15.0,1100.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Male,50-64 years,2453.0,28389.0,2375.0,1310.0,58.0,3572.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Male,55-64 years,1933.0,22755.0,1945.0,1046.0,52.0,2880.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Male,65-74 years,2918.0,32919.0,3077.0,1497.0,60.0,4551.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Male,75-84 years,3529.0,35253.0,3605.0,1820.0,64.0,5373.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Male,85 years and over,2815.0,28951.0,2769.0,1215.0,58.0,4421.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Female,35-44 years,231.0,3201.0,210.0,107.0,14.0,347.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Female,40-49 years,367.0,4096.0,321.0,170.0,14.0,530.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Female,45-54 years,485.0,5753.0,470.0,245.0,14.0,723.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Female,50-64 years,1584.0,18399.0,1620.0,820.0,44.0,2426.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Female,55-64 years,1306.0,14912.0,1331.0,672.0,33.0,1996.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Female,65-74 years,2292.0,24705.0,2412.0,1200.0,60.0,3556.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Female,75-84 years,2719.0,32953.0,2893.0,1284.0,82.0,4404.0
09/27/2023,01/01/2020,09/23/2023,By Total,Missouri,Female,85 years and over,3732.0,44771.0,3151.0,1278.0,86.0,5688.0
09/27/2023,01/01/2020,09/23/2023,By Total,Montana,Male,75-84 years,687.0,6405.0,666.0,377.0,17.0,992.0
09/27/2023,01/01/2020,09/23/2023,By Total,Montana,Male,85 years and over,504.0,5398.0,472.0,213.0,11.0,774.0
09/27/2023,01/01/2020,09/23/2023,By Total,Montana,Female,5-14 years,0.0,41.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,09/23/2023,By Total,Montana,Female,35-44 years,41.0,512.0,40.0,23.0,0.0,58.0
09/27/2023,01/01/2020,09/23/2023,By Total,Montana,Female,40-49 years,53.0,585.0,54.0,36.0,0.0,71.0
09/27/2023,01/01/2020,09/23/2023,By Total,Montana,Female,65-74 years,383.0,3697.0,392.0,213.0,16.0,578.0
09/27/2023,01/01/2020,09/23/2023,By Total,Montana,Female,75-84 years,436.0,5061.0,424.0,216.0,13.0,656.0
09/27/2023,01/01/2020,09/23/2023,By Total,Montana,Female,85 years and over,554.0,7335.0,455.0,185.0,19.0,842.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nebraska,Male,35-44 years,76.0,1178.0,68.0,44.0,0.0,100.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nebraska,Male,50-64 years,551.0,6152.0,561.0,290.0,14.0,836.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nebraska,Male,55-64 years,429.0,4970.0,442.0,224.0,13.0,660.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nebraska,Male,65-74 years,768.0,8063.0,780.0,343.0,19.0,1222.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nebraska,Male,75-84 years,938.0,9211.0,951.0,434.0,15.0,1469.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nebraska,Male,85 years and over,864.0,9271.0,936.0,338.0,17.0,1476.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nebraska,Female,50-64 years,296.0,3930.0,346.0,148.0,15.0,509.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nebraska,Female,55-64 years,239.0,3192.0,278.0,117.0,12.0,412.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nebraska,Female,65-74 years,449.0,5718.0,521.0,227.0,13.0,756.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nebraska,Female,75-84 years,598.0,8139.0,691.0,241.0,17.0,1064.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nebraska,Female,85 years and over,1054.0,14120.0,1034.0,318.0,31.0,1798.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nevada,Male,50-64 years,1584.0,13271.0,1843.0,1197.0,33.0,2262.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nevada,Male,55-64 years,1187.0,10323.0,1418.0,898.0,27.0,1733.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nevada,Male,65-74 years,2054.0,16431.0,2599.0,1583.0,32.0,3100.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nevada,Male,75-84 years,2035.0,17171.0,2613.0,1540.0,27.0,3132.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nevada,Male,85 years and over,1139.0,11087.0,1430.0,868.0,11.0,1712.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nevada,Female,50-64 years,894.0,7865.0,1176.0,694.0,16.0,1392.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nevada,Female,55-64 years,698.0,6208.0,910.0,535.0,12.0,1085.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nevada,Female,65-74 years,1158.0,10625.0,1592.0,908.0,19.0,1860.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nevada,Female,75-84 years,1327.0,14084.0,1741.0,984.0,18.0,2099.0
09/27/2023,01/01/2020,09/23/2023,By Total,Nevada,Female,85 years and over,1042.0,13991.0,1263.0,696.0,21.0,1628.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Hampshire,Male,Under 1 year,0.0,77.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Hampshire,Male,1-4 years,0.0,23.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Hampshire,Male,65-74 years,367.0,6023.0,426.0,177.0,12.0,627.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Hampshire,Male,75-84 years,486.0,6878.0,549.0,194.0,17.0,857.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Hampshire,Male,85 years and over,495.0,6632.0,485.0,163.0,11.0,827.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Hampshire,Female,65-74 years,242.0,4162.0,300.0,117.0,11.0,436.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Hampshire,Female,85 years and over,697.0,10203.0,585.0,178.0,19.0,1123.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Jersey,Male,40-49 years,774.0,7397.0,575.0,373.0,11.0,987.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Jersey,Male,45-54 years,1294.0,10639.0,942.0,625.0,13.0,1624.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Jersey,Male,50-64 years,3798.0,29594.0,3021.0,1926.0,31.0,4922.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Jersey,Male,55-64 years,2992.0,23105.0,2439.0,1536.0,26.0,3919.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Jersey,Male,65-74 years,4457.0,32938.0,3827.0,2282.0,29.0,6029.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Jersey,Male,75-84 years,5114.0,39119.0,4759.0,2637.0,43.0,7274.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Jersey,Male,85 years and over,4812.0,40225.0,4484.0,2277.0,60.0,7077.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Jersey,Female,50-64 years,2051.0,18194.0,1766.0,1064.0,23.0,2773.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Jersey,Female,55-64 years,1658.0,14504.0,1408.0,863.0,21.0,2221.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Jersey,Female,65-74 years,2863.0,24455.0,2504.0,1460.0,31.0,3931.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Jersey,Female,75-84 years,4256.0,37841.0,3818.0,2094.0,35.0,6013.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Jersey,Female,85 years and over,6589.0,66089.0,5431.0,2735.0,71.0,9349.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Mexico,Male,45-54 years,512.0,3832.0,463.0,315.0,15.0,673.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Mexico,Male,50-64 years,1198.0,9327.0,1131.0,725.0,26.0,1629.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Mexico,Male,55-64 years,895.0,7176.0,853.0,538.0,16.0,1226.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Mexico,Male,65-74 years,1185.0,9921.0,1194.0,703.0,18.0,1693.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Mexico,Male,75-84 years,1151.0,10380.0,1161.0,610.0,27.0,1726.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Mexico,Female,50-64 years,717.0,5386.0,704.0,432.0,24.0,1012.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Mexico,Female,55-64 years,555.0,4193.0,556.0,335.0,17.0,792.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Mexico,Female,65-74 years,867.0,7199.0,871.0,506.0,14.0,1244.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Mexico,Female,75-84 years,912.0,9236.0,906.0,438.0,24.0,1402.0
09/27/2023,01/01/2020,09/23/2023,By Total,New Mexico,Female,85 years and over,980.0,12283.0,860.0,387.0,12.0,1463.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York,Male,40-49 years,661.0,8481.0,545.0,282.0,10.0,934.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York,Male,45-54 years,1167.0,12347.0,1019.0,536.0,21.0,1670.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York,Male,50-64 years,3744.0,37374.0,3643.0,1783.0,67.0,5666.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York,Male,55-64 years,2996.0,29615.0,2959.0,1430.0,54.0,4575.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York,Male,65-74 years,4917.0,45529.0,5241.0,2320.0,72.0,7904.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York,Male,75-84 years,6058.0,53910.0,6812.0,2771.0,90.0,10183.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York,Male,85 years and over,6405.0,56862.0,7358.0,2636.0,98.0,11220.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York,Female,50-64 years,2109.0,23206.0,2310.0,1012.0,42.0,3447.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York,Female,55-64 years,1717.0,18792.0,1928.0,834.0,37.0,2847.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York,Female,65-74 years,3342.0,33614.0,3562.0,1539.0,77.0,5437.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York,Female,75-84 years,5081.0,50550.0,5441.0,2143.0,94.0,8471.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York,Female,85 years and over,8910.0,90553.0,8586.0,3027.0,201.0,14653.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Male,18-29 years,108.0,2829.0,80.0,26.0,10.0,166.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Male,25-34 years,216.0,3846.0,151.0,66.0,12.0,306.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Male,30-39 years,429.0,5112.0,254.0,127.0,18.0,566.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Male,35-44 years,640.0,6172.0,347.0,190.0,33.0,809.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Male,40-49 years,958.0,7413.0,550.0,308.0,57.0,1212.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Male,45-54 years,1579.0,10323.0,964.0,543.0,89.0,2018.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Male,50-64 years,4590.0,27941.0,3048.0,1659.0,225.0,6027.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Male,55-64 years,3608.0,21699.0,2437.0,1312.0,172.0,4771.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Male,65-74 years,5471.0,28571.0,3814.0,2027.0,169.0,7289.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Male,75-84 years,5563.0,28862.0,4187.0,2093.0,140.0,7696.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Male,85 years and over,4478.0,26608.0,3759.0,1708.0,113.0,6571.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Female,25-34 years,115.0,1517.0,85.0,32.0,10.0,174.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Female,40-49 years,433.0,3632.0,300.0,150.0,22.0,588.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Female,45-54 years,701.0,5487.0,503.0,243.0,38.0,971.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Female,50-64 years,2328.0,15998.0,1689.0,872.0,108.0,3180.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Female,55-64 years,1903.0,12615.0,1372.0,723.0,86.0,2581.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Female,65-74 years,3365.0,20235.0,2396.0,1263.0,112.0,4534.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Female,75-84 years,4389.0,27679.0,3372.0,1611.0,110.0,6186.0
09/27/2023,01/01/2020,09/23/2023,By Total,New York City,Female,85 years and over,5784.0,44931.0,4670.0,2019.0,147.0,8511.0
09/27/2023,01/01/2020,09/23/2023,By Total,North Carolina,Male,30-39 years,327.0,8289.0,305.0,170.0,10.0,472.0
09/27/2023,01/01/2020,09/23/2023,By Total,North Carolina,Male,35-44 years,500.0,9356.0,441.0,256.0,12.0,697.0
09/27/2023,01/01/2020,09/23/2023,By Total,North Carolina,Male,40-49 years,826.0,11442.0,725.0,437.0,16.0,1130.0
